station,email,city,country
Mama FM,umwa@africaonline.co.ug,"Kisaasi, Uganda", Uganda
Kanal FM,kanalfm@cafe.tg,"Lomé, Togo", Togo
BBC World Service Kigali,bbcwsafrica@bbc.co.uk,"Kigali, Rwanda", Rwanda
Wazobia FM 95.1,info@wazobiafm.com,"Kano, Nigeria", Nigeria
HITS,saydfx@gmail.com,"Zanzibar, Tanzania", Tanzania
Power,info@powerfm.co.za,"Houghton, South Africa", South Africa
Power FM,info@power997.com,"Lusaka, Zambia", Zambia
Radio Silver 92.3FM,info@radiosilveronline.com,"Takoradi, Ghana", Ghana
Raypower Abuja,info@raypowerabuja.com,"Asokoro, Nigeria", Nigeria
Unique FM,info@uniquefm.gm,"Banjul, Gambia", Gambia
Star FM,info@starradiomw.com,"Blantyre, Southern, Malawi", Malawi
Radio 102 FM,info@cocadillaz.com,"Saint-Pierre, Reunion", Reunion
Voice Of Nigeria Service Arabic,info@voiceofnigeria.org,"Lagos, Nigeria", Nigeria
Akaboozi FM,rs1elvis@gmail.com,"Kampala, Uganda", Uganda
BBC World Service,worldservice@bbc.co.uk,"Saint-Andre, Reunion", Reunion
MBC Music FM,customercare@mbc.intnet.mu,"Port Louis, Port Louis, Mauritius", Mauritius
Atlantis Radio,atlantis879@gamil.com,"Accra, Ghana", Ghana
Algoa FM,info@algoafm.co.za,"Port Elizabeth, South Africa", South Africa
Radio Gold FM,radiogold@ucomgh.com,"Accra, Ghana", Ghana
Radio Nationale,ard_at@yahoo.de,"Zaghouan, Tunisia", Tunisia
Midcities 107.4FM,info@midcities.co.za,"Midrand, GA, South Africa", South Africa
Rádio Pieia,info@radio.pieia.org,"Beira, Mozambique", Mozambique
Sama Radio Senegal,bestmoha1@gmail.com,"Dakar, Senegal", Senegal
Clouds FM,info@cloudsfm.co,"Dar es Salaam, Tanzania", Tanzania
Mosaique FM,commercial.citycenter@topnet.tn,"Sidi Bou Said, Tunisia", Tunisia
ISANGO STAR,info@isangostar.rw,"Kigali, Rwanda", Rwanda
Motsweding FM,mmekoasc@sabc.co.za,"Johannesburg, South Africa", South Africa
NBC German,gssecretary@nbc.na,"Klein Windhoek, Namibia", Namibia
Top FM,topfm@intnet.mu,"Port Louis, Mauritius", Mauritius
Smile 90.4 FM,studio@smile904.fm,"Cape Town, South Africa", South Africa
Radio Dunyaa,dunyaa@sentoo.sn,"Dakar, Senegal", Senegal
Tribute FM,info@tributefm.com,"Banghazi, Libyan Arab Jamahiriya", Libyan Arab Jamahiriya
Chikuni Radio,chikuniradio@gmail.com,"Monze, Zambia", Zambia
MBC Radio Mauritius 2,customercare@mbc.intnet.mu,"Malherbes, Mauritius", Mauritius
Radio Cosmos Namibia,info@kosmos.com.na,"Klein Windhoek, Namibia", Namibia
Phalaphala FM,maumelair@sabc.co.za,"Johannesburg, South Africa", South Africa
NBC Ovambo,fzinner@nbc.na,"Klein Windhoek, Namibia", Namibia
Radio Plus FM,venen@radioplus.mu,"Port Louis, Mauritius", Mauritius
CCFM,mail@ccfm.org.za,"Muizenberg, South Africa", South Africa
East Africa Radio,info@eastafricaradio.com,"Dar Es Salaam, Tanzania", Tanzania
Kiss 100,info@kissfm.co.ke,"Nairobi, Nairobi, Kenya", Kenya
ChaiFM,info@chaifm.com,"Johannesburg, South Africa", South Africa
MIGHT FM 90.5,info@mightfmonline.com,"Tamale, Ghana", Ghana
Breeze 99.6,info@breezefmchipata.com,"Chipata, Zambia", Zambia
BBC World Service Mbale,bbcwsafrica@bbc.co.uk,"Mbale, Uganda", Uganda
Blue Channel,ubc@ubconline.co.ug,"Mityana, Uganda", Uganda
Heart FM,info@1049.fm,"Cape Town, South Africa", South Africa
Inanda FM,stationmanager@inandafm.co.za,"Durban, South Africa", South Africa
HITFM Reunion,hitfm@live.fr,"Saint-Denis, Reunion", Reunion
102.3 KISS FM,info@kissfm.rw,"Kigali, Rwanda", Rwanda
Kalak FM,kalak@kalakfm.com,"Yaoundé, Cameroon", Cameroon
Radio 786,nazeer@radio786.co.za,"Cape Town, South Africa", South Africa
Hitradio Namibia,info@hitradio.com.na,"Windhoek, Namibia", Namibia
UCT Radio,info@uctradio.co.za,"Cape Town, South Africa", South Africa
Radio 2000,info@radio2000.co.za,"Cape Town, South Africa", South Africa
Radio Alfayda,info@radioalfayda.net,"Kaolack, Senegal", Senegal
Radio Pikan,secretariat@kanal-renionite.org,"Le Port, Reunion", Reunion
Radio 2M,srafie@2m.ma,"Casablanca, Morocco", Morocco
Lotus FM,info@lotusfm.co.za,"Johannesburg, South Africa", South Africa
Kaya FM,pr@kayafm.co.za,"Johannesburg, South Africa", South Africa
Africa N°1,africa@africa1.com,"Santa Isabel, Equatorial Guinea", Equatorial Guinea
Radio SPORT FM,radiosportfm@yahoo.fr,"Lomé, Togo", Togo
Bonheur FM Guinée,radiobonheurfmguinee@gmail.com,"Conakry, Guinea", Guinea
Luv FM,franklinbrobby@yahoo.co.uk,"Kumasi, Ghana", Ghana
Bassam FM,charles@bassamfm.com,"Yamoussoukro, Côte d'Ivoire", Côte d'Ivoire
947,webmaster947@highveld.co.za,"Rivonia, South Africa", South Africa
Chada FM,contact@chadafm.net,"Casablanca, Morocco", Morocco
Time FM 105.3,timefm105.3@gmail.com,"Akumadan, Ghana", Ghana
KASAPA FM,info@kasapafmonline.com,"Accra, Ghana", Ghana
Radio Apac,info@radioapac.com,"Apac, Uganda", Uganda
Radio Kragbron,info@radiokragbron.co.za,"Mpumalanga, South Africa", South Africa
Fine Music Radio,fmr@fmr.co.za,"Cape Town, South Africa", South Africa
KBC - Kiswahili,md@kbc.co.ke,"Ngong, Nairobi, Kenya", Kenya
Radio La Voix Du Nord,abdou.rvn@hotmail.fr,"Dzoumogne, Mayotte", Mayotte
Radio Alansaar,info@alansaar.co.za,"Johannesburg, South Africa", South Africa
SBC Paradise FM,Paradise.FM@sbc.sc,"Victoria, Seychelles", Seychelles
Radio Tataouine,info@radiotunis.com,"Remada, Tunisia", Tunisia
Radio Pulsar,info@monpulsar.com,"Ouagadougou, Burkina Faso", Burkina Faso
RADIOKRIO,MAFERECAMARA@YAHOO.COM,"Waterloo, Sierra Leone", Sierra Leone
Peace FM,daara90@gmail.com,"Accra, Ghana", Ghana
Radio El Bahdja,info@algerian-radio.dz,"Bordj El Bahri, Algeria", Algeria
XFM Kenya,info@xfm.co.ke,"Machakos, Kenya", Kenya
Vibe 91.9 FM,info@vibefm.com.gh,"Accra, Accra, Ghana", Ghana
Magic FM 92.9,elkindy24@hotmail.com,"Dar es Salaam, Tanzania", Tanzania
Mbabule FM,tam978@gmail.com,"Sembabule, Uganda", Uganda
Capital FM Malawi,music@capitalradiomalawi.com,"Blantyre, Malawi", Malawi
Kanaal 7,kanaal7@k7.com.na,"Katima Mulilo, Namibia", Namibia
Vibes 97.3 FM Benin,radio@vibesfm.com.ng,"Benin City, Nigeria", Nigeria
Al Quran Al Kareem,qurannet@ertu.org,"Cairo, Egypt", Egypt
KBC Kitwek FM,md@kbc.co.ke,"Eldoret, Kenya", Kenya
Africa N°1,africa@africa1.com,"Bangui, Central African Republic", Central African Republic
Nile FM,contactnrp@nileradioproductions.net,"Cairo, Egypt", Egypt
Magic FM Aba,info@magicfmnigeria.com,"Aba, Nigeria", Nigeria
RB2-Radio Botswana 2,asesinyi@gov.bw,"Gaborone, Botswana", Botswana
Pride FM,info@878pridefm.com,"Mtwara, Tanzania", Tanzania
VOT FM,votradio890@gmail.com,"Tabora, Tanzania", Tanzania
Radio Houtstok,info@radiohoutstok.co.za,"Johannesburg, South Africa", South Africa
Radio 2000,info@radio2000.co.za,"Durban North, South Africa", South Africa
Gagasi 99.5 FM,management@gagasi995.co.za,"Durban, South Africa", South Africa
Classic 105,info@classic105.com,"Nairobi, Kenya", Kenya
BBC World Service Antananarivo,bbcwsafrica@bbc.co.uk,"Antananarivo, Madagascar", Madagascar
CRI Nairobi,crieng@cri.com.cn,"Nairobi, Kenya", Kenya
CG FM Radio,info@cgfmradio.com,"Tabora, Tanzania", Tanzania
Radio Kwizera,missangadam@aol.com,"Ngara, Tanzania", Tanzania
Luxe Radio,info@luxeradio.ma,"Agadir, Morocco", Morocco
Bok Radio,info@bokradio.co.za,"Cape Town, South Africa", South Africa
UNAM Radio,rtyson@unam.na,"Windhoek, Namibia", Namibia
TWR Africa,info@twrafrica.org,"Mbabane, Swaziland", Swaziland
Radio Islam Malawi,info@radioislam.org.mw,"Blantyre, Malawi", Malawi
Radio Cairo,Webmaster@radiocairo.cjb.net,"Cairo, Egypt", Egypt
BOHYE 95.3 FM,info@bohyeonline.com,"Kumasi, Ghana", Ghana
Radio Mocambique,webmaster@rm.co.mz,"Maputo, Mozambique", Mozambique
Paradise FM,psdrammtg.edu.gmeh@u,"Kololi, Gambia", Gambia
Base FM,manager@basefm.com.na,"Windhoek, Namibia", Namibia
Al-Aghani,ads@elaghany.com,"Cairo, Egypt", Egypt
Kapital Radio 97.1,info@kapital971.com,"Kumasi, Ghana", Ghana
Dembe FM,Administration@ugamuziki.com,"Kampala, Uganda", Uganda
Magic FM,skarere@rba.co.rw,"Kigali, Kigali, Rwanda", Rwanda
Zambezi FM Radio,swithinhaangala@yahoo.com,"Livingstone, Zambia", Zambia
Africa N°1,africa@africa1.com,"Lomé, Togo", Togo
Digida Fm 106.5,info@digidafm.com,"Kampala, Uganda", Uganda
TransAfricaRadio.net,info@transafricaradio.net,"Johannesburg, South Africa", South Africa
Bush Radio,mother@bushradio.co.za,"Cape Town, South Africa", South Africa
Starr,webmaster@starrfmonline.com,"Accra, Ghana", Ghana
BBC World Service Bangui,bbcwsafrica@bbc.co.uk,"Bangui, Central African Republic", Central African Republic
LIVE FM,info@livefmghana.com,"Tesano, Ghana", Ghana
CLASSIC FM 97.3,info@classic97.net,"Lagos, Nigeria", Nigeria
Capp FM,info@cappfm.com,"Cotonou, Benin", Benin
SWAHIBA FM,info@swahibafm.com,"Zanzibar, Tanzania", Tanzania
Radio Medan El-Tahrir,info@radioeltahrir.com,"Cairo, Egypt", Egypt
Alliance 92,frequence92@live.fr,"Antananarivo, Madagascar", Madagascar
Sunlight FM,sunlightfm@wanadoo.fr,"Saint-Philippe, Reunion", Reunion
Radio Atlantis,rafm@mweb.co.za,"Atlantis, South Africa", South Africa
Radio Today,info@1485.org.za,"Johannesburg, South Africa", South Africa
BBC World Service Victoria,worldservice@bbc.co.uk,"Victoria, Seychelles", Seychelles
Homeboyz Radio,info@homeboyzradio.co.ke,"Nairobi, Kenya", Kenya
87.9 Planet FM,planetfmradio@gmail.com,"Morogoro, Tanzania", Tanzania
Vuma FM,info@vumafm.co.za,"Durban, South Africa", South Africa
Choice FM,production@choicefm.co,"Dar Es Salaam, Tanzania", Tanzania
Yarona FM,info@yaronafm.co.bw,"Gaborone, Botswana", Botswana
Omega FM,omegafm@omegafm.com,"Lomé, Togo", Togo
Flava FM,admin@flavafm.co.zm,"Kitwe, Zambia", Zambia
Radio Laghouat,info@radio-laghouat.dz,"Aflou, Algeria", Algeria
BBC World Service Khartoum,worldservice@bbc.co.uk,"Khartoum, Sudan", Sudan
L.A.C FM,lac@lacluanda.com,"Luanda, Luanda, Angola", Angola
234Radio,info@234radio.com,"Lagos, Nigeria", Nigeria
Gifts 105.5Fm,info@giftsfmonline.com,"Accra, Ghana", Ghana
Kantinka fm,info@kantinkafmonline.com,"Agona Swedru , Ghana", Ghana
Nostalgie Cameroun,info@nostalgie.cm,"Douala, Cameroon", Cameroon
E-FM Radio,info@efm.co.tz,"Dar es Salaam, Tanzania", Tanzania
Zik FM,info@zikfm.net,"Dakar, Senegal", Senegal
GBC Obonu FM,info@gbcghana.com,"Accra, Ghana", Ghana
Radio Voix des Jeunes de Kita,radio@voixdesjeunes-kita.ml,"Kita, Mali, Mali", Mali
Radio Coran,contact@radio-coran.net,"Algiers, Algiers, Algeria", Algeria
CRTV,fm94@crtv.cm,"Yaoundé, Cameroon", Cameroon
Radio 99,comercial@99fm.co.mz,"Maputo, Em primeiro lugar em todo lugar, Mozambique", Mozambique
Radio Don Bosco,rdb@radiodonbosco.org,"Antananarivo, Madagascar", Madagascar
Radio Maria (Malawi), radiomaria@africa-online.net,"Blantyre, Malawi", Malawi
104.9 Ssuubi FM Kampala,abmasembe.md@ssuubifmradio.com,"Kampala, Uganda", Uganda
Hitz FM,info@myjoyonline.com,"Accra, Ghana", Ghana
Radio Okapi,info@hirondelle.org,"Kinshasa, DR Congo", DR Congo
GhRadio1,info@radio1ghana.com,"Bunso, Ghana", Ghana
ZENJI FM,info@zenjfmradio.com,"Zanzibar, Tanzania", Tanzania
YFM,eadu@gmaworld.com,"Kumasi, Ghana", Ghana
Top 103.1,info@topradioghana.com,"Accra, Ghana", Ghana
Moonlite FM,info@moonlitefm.com,"Sunyani, Ghana", Ghana
Top Congo FM,info@topcongo.info,"Kinshasa, DR Congo", DR Congo
Groot FM,grootfm@xpbroadcasting.com,"Pretoria, South Africa", South Africa
Lotus FM,info@lotusfm.co.za,"Tygerberg Hills, South Africa", South Africa
Radio 99,99fm@99fm.com.na,"Klein Windhoek, Namibia", Namibia
Cool FM 96.9 Kano,rcahilig@coollink.us,"Kano, Nigeria", Nigeria
Radio Megamind,info@fm12.net,"Khartoum, Sudan", Sudan
Icengelo Radio,radioice@zamtel.zm,"Kitwe, Zambia", Zambia
ZiFM Stereo,info@zifmstereo.co.zw,"Harare, Zimbabwe", Zimbabwe
Radio Top FM,top-fm@wanadoo.fr,"Manapany-les Hauts, Le Tampon, Reunion", Reunion
LM Radio,info@lmradio.net,"Maputo, Mozambique", Mozambique
Kyzz Fm,info@kyzzfmonline.com,"Takoradi, Ghana", Ghana
BakGat Radio,bakgatradio@gmail.com,"Johannesburg, South Africa", South Africa
Radio Phoenix,rphoenix@zamnet.zm,"Kitwe, Zambia", Zambia
Radio Maria,info.tan@radiomaria.org,"Dar es Salaam, Tanzania", Tanzania
KFM,kfm@kfm.co.za,"Cape Town, South Africa", South Africa
Radio Maria (Malawi), radiomaria@africa-online.net,"Mangochi, Malawi", Malawi
Brila FM,info@brila.net,"Lagos, Nigeria", Nigeria
Radio Saida,info@saidafm.com,"Saida, Algeria", Algeria
COUNTRY FM,countryfm5@yahoo.com,"Iringa, Tanzania", Tanzania
Ukhozi FM,nzimandew@sabc.co.za,"Johannesburg, South Africa", South Africa
PureFM (Seychelles),90.7@purefm.sc,"Victoria, Seychelles", Seychelles
Jacaranda Afrikaans,advertensieguru@ja.fm,"Johannesburg, South Africa", South Africa
Rite 90.1 Fm,info@ritefmonline.com,"Somanya, Ghana", Ghana
Radio Omega FM Ouaga,omegafm@omegabf.net,"Ouagadougou, Burkina Faso", Burkina Faso
Capital Radio,info@capitalradio.co.tz,"Dar es Salaam, Tanzania", Tanzania
Amplitude FM,contact@cameroon-info.net,"Yaounde, Cameroon", Cameroon
Radio Maranatha,fmradiomaranatha@gmail.com,"Kabwe, Zambia", Zambia
SAFM,tshiradost@safm.co.za,"Johannesburg, South Africa", South Africa
702,702webmaster@702.co.za,"Johannesburg, South Africa", South Africa
Radio JVA,radiojva@yahoo.fr,"Lomé, Togo", Togo
Radio10,contact@radio10.rw,"Kigali, Rwanda", Rwanda
El Gouna Radio,romolo1@romolo.com,"Hurghada, Egypt", Egypt
Radio Maria,radiomariarwanda@gmail.com,"Kigali, Rwanda", Rwanda
BBC World Service Nairobi,bbcwsafrica@bbc.co.uk,"Nairobi, Nairobi, Kenya", Kenya
KT Radio,info@ktradio.rw,"Kigali, Rwanda", Rwanda
Justice FM,info@radiojusticeonline.com,"Tamale, Ghana", Ghana
Gambia Radio GRTS,info@accessgambia.com,"Bonto, Gambia", Gambia
Star FM 96.6 Banjul,starfmgambia@yahoo.com,"Sere Kunda, Gambia", Gambia
O FM 107.7,ofmghanaonline@gmail.com,"Kumasi, Ghana", Ghana
Voice of Teso Radio,info@imbaraga.com,"Teso, Uganda", Uganda
Arua One FM,tam978@gmail.com,"Arua, Uganda", Uganda
BBC World Service Accra,bbcwsafrica@bbc.co.uk,"Accra, Accra, Ghana", Ghana
Link FM,info@linkfm.co.za,"East London, South Africa", South Africa
Mango 96 FM,Contact@mango96.com,"Omdurman, Sudan", Sudan
YONECO FM,panjiharawa@yoneco.org.mw,"Zomba, Malawi", Malawi
Lesedi FM,mothibipm@sabc.co.za,"Johannesburg, South Africa", South Africa
Radio One R1,redaction@r1.mu,"Port Louis, Mauritius", Mauritius
Radio Islam,support@radioislam.org.za,"Johannesburg, South Africa", South Africa
Africa N°1,africa@africa1.com,"Porto-Novo, Benin", Benin
Seychelles Lounge Radio,contact@fmseychelles.com,"Victoria, Seychelles", Seychelles
Alrabaa 94 FM,info@alrabaafm.com,"Khartoum, Sudan", Sudan
Upendo FM,info@elctecd.org,"Dar es Salaam, Tanzania", Tanzania
Radio Maria (Zambia),director.zam@radiomaria.org,"Chipata, Northeast, Zambia", Zambia
Qiblaten FM,info@dhinureyn.com,"Iringa, Tanzania", Tanzania
KBC - English,md@kbc.co.ke,"Nairobi, Nairobi, Kenya", Kenya
Radio Fahazavana,fahazavana@dts.mg,"Faravohitra, Antananarivo, Madagascar", Madagascar
BBC World Service English Bay,bbcwsafrica@bbc.co.uk,"Edinburgh of the Seven Seas, St. Helena", St. Helena
NBC Lozi,fzinner@nbc.na,"Klein Windhoek, Namibia", Namibia
HOT 91.9fm,onair@hot919.co.za,"Randburg, South Africa", South Africa
Saint FM,fm@cwimail.sh,"Jamestown, St. Helena", St. Helena
Radio One,info@radio1.co.tz,"Dar es Salaam, Tanzania", Tanzania
Radio Relizane,contact@radiorelizane.net,"Algiers, Algeria", Algeria
Radio Maria (Tanzania),info.tan@radiomaria.org,"Arusha, Arusha Region, Tanzania", Tanzania
Ultimate 106.9fm,info@ultimate1069.com,"Kumasi, Ghana", Ghana
Chaîne Nationale RTS,rts@rts.sn,"Dakar, Senegal", Senegal
SW Radio Africa,news@swradioafrica.com,"Avoca, Zimbabwe", Zimbabwe
Lekker FM,info@lekkerfm.com,"Johannesburg, South Africa", South Africa
viva radio madagascar,viva.infog@blueline.mg,"Antananarivo, Madagascar", Madagascar
Upendofm Eldoret Kenya,info@upendofm.org,"Eldoret, Kenya", Kenya
BBC World Service Mbarara,bbcwsafrica@bbc.co.uk,"Mbarara, Mbarara, Uganda", Uganda
Anapua FM,info@anapuafm.com,"Kenyasi, Ghana", Ghana
Radio Nationale,ard_at@yahoo.de,"Boukrim, Tunisia", Tunisia
Mines FM,info@minesfm.com,"Gafsa, Tunisia", Tunisia
Fish Fm,info@fishkenya.net,"Eldoret, Kenya", Kenya
East Coast Radio,studio@ecr.co.za,"Durban, South Africa", South Africa
Africa N°1,africa@africa1.com,"Ouagadougou, Ouagadougou, Burkina Faso", Burkina Faso
Munghana Lonene FM,mlfm@sabc.co.za,"Johannesburg, South Africa", South Africa
BBC World Service Abidjan,worldservice@bbc.co.uk,"Abidjan, Côte d'Ivoire", Côte d'Ivoire
Radio Maria (Uganda),coordinator.uga@radiomaria.org,"Kampala, Mbarara, Uganda", Uganda
Kessben FM,info@kessbenfm.com,"Kumasi, Ghana", Ghana
Happy 98.9 FM,info@happyghana.com,"Accra, Ghana", Ghana
Touch FM,95.9@touch.fm,"Kampala, Uganda", Uganda
Beat FM,technical@capitalfm-ug.com,"Kampala, Uganda", Uganda
Kiss FM,kissmf@saharamedia.co.tz,"Dar es Salaam, Tanzania", Tanzania
Ma-FM,sidonie@matv.mg,"Antananarivo, Madagascar", Madagascar
ATL FM 100.5MHZ,webmaster@atlfmonline.com,"Cape Coast, Ghana", Ghana
Impact 103,radio@impactradio.co.za,"Pretoria, Pretoria, South Africa", South Africa
PE FM,info@pefm.co.za,"Port Elizabeth, South Africa", South Africa
Radio Setif,contact.radio.setif@gmail.com,"Sétif, Algeria", Algeria
Jeppe FM,info@jeppefm.tk,"Johannesburg, South Africa", South Africa
Medeamaa,medeamaa929fm@gmail.com,"Tarkwa, Ghana", Ghana
Rockcity FM,info@rockcityfmradio.com,"Abeokuta, Nigeria", Nigeria
Algoa FM,info@algoafm.co.za,"East London, Eastern Cape Prov., South Africa", South Africa
Radio Christian Voice Zambia,voicefm@zamnet.zm,"Kitwe, Zambia", Zambia
Africa N°1,africa@africa1.com,"Douala, Cameroon", Cameroon
Hot FM,pagegroupmedia@gmail.com,"Accra, Ghana", Ghana
Breeze 90.9FM,breezefmgh@gmail.com,"Accra, Ghana", Ghana
Umhlobo Wenene FM,magwan@sabc.co.za,"Port Elizabeth, South Africa", South Africa
Africa N°1,africa@africa1.com,"Dakar, Senegal", Senegal
Radio Ecclesia,info@radioecclesia.org,"Luanda, Luanda, Angola", Angola
Top Radio FM,info@topradio.co.tz,"Morogoro, Tanzania", Tanzania
Believers Broadcasting Network SL,admin@bbn-sl.org,"Freetown, Sierra Leone", Sierra Leone
Ngola Radio,ngolaradio1@hotmail.com,"Luanda, Angola", Angola
Afro FM,info@afro105fm.com,"Addis Abeba, Ethiopia", Ethiopia
Velly Music,jimvelly@gmail.com,"Saint-Paul, Le Port/Saint-Paul, Reunion", Reunion
Shems FM,contact@shemsfm.net,"Gafsa, Tunisia", Tunisia
90.6 FM Stereo,vcr906fm@gmail.com,"Vereeniging, South Africa", South Africa
Radio Burkina,radio@rtb.bf,"Ouagadougou, Burkina Faso", Burkina Faso
Easy FM,info@easyfm.co.ke,"Nairobi, Kenya", Kenya
Capital FM,digital@capitalfm.co.ke,"Nairobi, Kenya", Kenya
BBC World Service Bigara,bbcwsafrica@bbc.co.uk,"Port Louis, Mauritius", Mauritius
Ligwalagwala FM,ligwalagwalafm@sabc.co.za,"Pretoria, South Africa", South Africa
Energy 100 FM,studio@energy100fm.com,"Klein Windhoek, Namibia", Namibia
Liberty Radio English,libertyradiong@gmail.com,"Kaduna, Nigeria", Nigeria
Radio Hits,contact@radiohits.co,"Cairo, Egypt", Egypt
NBC Rukavango,fzinner@nbc.na,"Klein Windhoek, Namibia", Namibia
BBC World Service Dar es Salaam,bbcwsafrica@bbc.co.uk,"Dar es Salaam, Dar es Salaam, Tanzania", Tanzania
Radio Zone 100.7,Info@RadioZone.ly,"Tripoli, Libyan Arab Jamahiriya", Libyan Arab Jamahiriya
Capital FM,saulsounds@gmail.com,"Banjul, Gambia", Gambia
Radio IFM,contact@ifm.tn,"Tunis, Tunisia", Tunisia
Nostalgie FM,commercial@nostalgie.sn,"Dakar, Senegal", Senegal
Hero Radio,info@hero.co.ke,"Nakuru, Kenya", Kenya
Hindvani Radio,sales@hindvani.co.za,"Durban, South Africa", South Africa
Ghetto Radio,info@ghettoradio.co.ke,"Nairobi, Kenya", Kenya
Nigeriainfo FM 92.3 PH,rcahilig@coollink.us,"Port Harcourt, Nigeria", Nigeria
Ukhozi FM,nzimandew@sabc.co.za,"Durban, South Africa", South Africa
Radio Maria (Togo),director.tog@radiomaria.org,"Lomé, Togo", Togo
Bukedde FM 100.5,tam978@gmail.com,"Kampala, Uganda", Uganda
Radio Tunis Jeunes,radio.jeunes@radiotunisienne.tn,"Tunis, Tunisia", Tunisia
Radio Lome,radiolome@radiolome.tg,"Lomé, Togo", Togo
Omulunga Radio,omulunga @ omulunga.com.na,"Klein Windhoek, Namibia", Namibia
GoodHope FM,amanda@goodhopefm.co.za,"Cape Town, South Africa", South Africa
KBC R Taifa,md@kbc.co.ke,"Nairobi, Kenya", Kenya
Winners FM,info@winnersfm.com,"Techiman, Ghana", Ghana
Radio Sfax,info@radiotunis.com,"Sfax, Tunisia", Tunisia
HighLife Radio,info@highliferadio.com,"Accra, Ghana", Ghana
Umhlobo Wenene FM,magwan@sabc.co.za,"Johannesburg, South Africa", South Africa
Ouaga FM,radio.ouaga@yahoo.fr,"Ouagadougou, Burkina Faso", Burkina Faso
ZNBC Radio 4,hyde.haguta@znbc.co.zm,"Lusaka, Lusaka, Zambia", Zambia
